case_id,activity_name,resource,start_timestamp,end_timestamp
Case36,Turning & Milling,ID4529,2012-03-12 15:14:00+00:00,2012-03-12 20:22:00+00:00
Case42,Turning & Milling,ID4167,2012-03-12 15:17:00+00:00,2012-03-12 23:01:00+00:00
Case103,Turning & Milling Q.C.,ID4618,2012-03-12 15:27:00+00:00,2012-03-12 15:28:00+00:00
Case147,Turning,ID0997,2012-03-12 18:00:00+00:00,2012-03-12 22:54:00+00:00
Case97,Flat Grinding,ID0998,2012-03-12 18:18:00+00:00,2012-03-12 18:19:00+00:00
Case97,Lapping,ID0998,2012-03-12 18:19:00+00:00,2012-03-12 21:10:00+00:00
Case79,Turning & Milling Q.C.,ID4287,2012-03-13 00:00:00+00:00,2012-03-13 01:01:00+00:00
Case7,Turning & Milling,ID4429,2012-03-13 00:17:00+00:00,2012-03-13 02:44:00+00:00
Case42,Turning & Milling,ID4219,2012-03-13 01:04:00+00:00,2012-03-13 02:23:00+00:00
Case147,Turning,ID4219,2012-03-13 02:25:00+00:00,2012-03-13 09:04:00+00:00
Case36,Turning & Milling,ID4429,2012-03-13 02:46:00+00:00,2012-03-13 06:36:00+00:00
Case7,Turning & Milling,ID4932,2012-03-13 02:48:00+00:00,2012-03-13 03:24:00+00:00
Case7,Turning & Milling,ID4932,2012-03-13 03:25:00+00:00,2012-03-13 04:10:00+00:00
Case111,Turning,ID4932,2012-03-13 04:10:00+00:00,2012-03-13 07:13:00+00:00
Case42,Turning & Milling,ID4794,2012-03-13 04:15:00+00:00,2012-03-13 14:01:00+00:00
Case147,Packing,ID4820,2012-03-13 07:00:00+00:00,2012-03-13 08:00:00+00:00
Case83,Turning & Milling,ID4429,2012-03-13 07:00:00+00:00,2012-03-13 08:15:00+00:00
Case111,Turning,ID4932,2012-03-13 07:13:00+00:00,2012-03-13 13:39:00+00:00
Case36,Turning & Milling,ID4932,2012-03-13 07:15:00+00:00,2012-03-13 08:30:00+00:00
Case36,Turning & Milling,ID4932,2012-03-13 07:16:00+00:00,2012-03-13 08:38:00+00:00
Case36,Turning & Milling Q.C.,ID4493,2012-03-13 13:50:00+00:00,2012-03-13 15:08:00+00:00
Case42,Turning & Milling Q.C.,ID4618,2012-03-13 13:53:00+00:00,2012-03-13 15:29:00+00:00
Case147,Turning Q.C.,ID4287,2012-03-13 14:00:00+00:00,2012-03-13 15:00:00+00:00
Case111,Turning,ID4167,2012-03-13 14:10:00+00:00,2012-03-13 23:10:00+00:00
Case42,Turning & Milling,ID4167,2012-03-13 14:23:00+00:00,2012-03-13 22:03:00+00:00
Case36,Turning & Milling,ID4529,2012-03-13 14:25:00+00:00,2012-03-13 16:13:00+00:00
Case69,Milling,ID0997,2012-03-13 14:58:00+00:00,2012-03-13 22:57:00+00:00
Case42,Turning & Milling Q.C.,ID4618,2012-03-13 15:28:00+00:00,2012-03-13 15:29:00+00:00
Case42,Laser Marking,ID0998,2012-03-13 15:29:00+00:00,2012-03-13 15:30:00+00:00
Case42,Flat Grinding,ID0998,2012-03-13 15:30:00+00:00,2012-03-13 16:45:00+00:00
Case42,Lapping,ID0998,2012-03-13 15:31:00+00:00,2012-03-13 16:46:00+00:00
Case42,Flat Grinding,ID0998,2012-03-13 15:32:00+00:00,2012-03-13 17:16:00+00:00
Case42,Round Grinding,ID4872,2012-03-13 15:32:00+00:00,2012-03-13 22:51:00+00:00
Case42,Laser Marking,ID4355,2012-03-13 16:13:00+00:00,2012-03-13 16:42:00+00:00
Case7,Turning & Milling Q.C.,ID4618,2012-03-13 16:19:00+00:00,2012-03-13 16:20:00+00:00
Case103,Laser Marking,ID4355,2012-03-13 16:54:00+00:00,2012-03-13 17:46:00+00:00
Case42,Round Grinding,ID4872,2012-03-13 17:16:00+00:00,2012-03-13 22:53:00+00:00
Case79,Laser Marking,ID4355,2012-03-13 17:47:00+00:00,2012-03-13 21:36:00+00:00
Case147,Final Inspection Q.C.,ID4287,2012-03-13 20:20:00+00:00,2012-03-13 21:03:00+00:00
Case103,Flat Grinding,ID0998,2012-03-13 20:27:00+00:00,2012-03-13 21:04:00+00:00
Case112,Turning & Milling,ID3846,2012-03-13 21:01:00+00:00,2012-03-14 00:48:00+00:00
Case103,Final Inspection Q.C.,ID4618,2012-03-13 21:07:00+00:00,2012-03-14 00:57:00+00:00
Case36,Turning & Milling,ID4529,2012-03-13 21:56:00+00:00,2012-03-13 23:07:00+00:00
Case42,Lapping,ID0998,2012-03-13 22:51:00+00:00,2012-03-13 22:52:00+00:00
Case111,Turning,ID4429,2012-03-13 23:14:00+00:00,2012-03-14 02:42:00+00:00
Case36,Turning & Milling,ID4429,2012-03-14 00:55:00+00:00,2012-03-14 03:14:00+00:00
Case101,Setup,ID4219,2012-03-14 01:47:00+00:00,2012-03-14 03:03:00+00:00
Case111,Turning,ID4932,2012-03-14 02:44:00+00:00,2012-03-14 13:45:00+00:00
Case36,Turning & Milling,ID4932,2012-03-14 03:16:00+00:00,2012-03-14 08:57:00+00:00
Case101,Turning & Milling,ID4219,2012-03-14 03:38:00+00:00,2012-03-14 06:03:00+00:00
Case112,Turning & Milling,ID4132,2012-03-14 04:28:00+00:00,2012-03-14 06:10:00+00:00
Case101,Turning & Milling,ID4219,2012-03-14 06:04:00+00:00,2012-03-14 06:49:00+00:00
Case101,Turning & Milling,ID4219,2012-03-14 06:50:00+00:00,2012-03-14 08:06:00+00:00
Case123,Turning & Milling,ID4429,2012-03-14 07:00:00+00:00,2012-03-14 08:15:00+00:00
Case79,Lapping,ID4882,2012-03-14 07:00:00+00:00,2012-03-14 08:15:00+00:00
Case101,Turning & Milling,ID4794,2012-03-14 08:06:00+00:00,2012-03-14 13:28:00+00:00
Case4,SETUP     Turning & Milling,ID4932,2012-03-14 08:58:00+00:00,2012-03-14 12:59:00+00:00
Case103,Final Inspection Q.C.,ID4618,2012-03-14 13:58:00+00:00,2012-03-14 17:35:00+00:00
Case111,Turning,ID4167,2012-03-14 13:58:00+00:00,2012-03-14 17:59:00+00:00
Case112,Turning & Milling Q.C.,ID4287,2012-03-14 14:00:00+00:00,2012-03-14 15:40:00+00:00
Case101,Turning & Milling,ID0997,2012-03-14 14:02:00+00:00,2012-03-14 14:48:00+00:00
Case101,Turning & Milling,ID0997,2012-03-14 14:49:00+00:00,2012-03-14 18:10:00+00:00
Case36,Turning & Milling Q.C.,ID4493,2012-03-14 15:12:00+00:00,2012-03-14 16:27:00+00:00
Case112,Turning & Milling,ID3846,2012-03-14 15:15:00+00:00,2012-03-14 16:02:00+00:00
Case112,Turning & Milling,ID3846,2012-03-14 16:02:00+00:00,2012-03-14 20:21:00+00:00
Case4,Turning & Milling,ID4529,2012-03-14 16:25:00+00:00,2012-03-14 22:17:00+00:00
Case36,Laser Marking,ID0998,2012-03-14 16:43:00+00:00,2012-03-14 17:58:00+00:00
Case101,Turning & Milling,ID0997,2012-03-14 18:11:00+00:00,2012-03-14 20:30:00+00:00
Case42,Final Inspection Q.C.,ID4618,2012-03-14 18:13:00+00:00,2012-03-14 23:56:00+00:00
Case79,Lapping,ID0998,2012-03-14 18:17:00+00:00,2012-03-14 19:44:00+00:00
Case103,Final Inspection Q.C.,ID4618,2012-03-14 19:03:00+00:00,2012-03-14 19:04:00+00:00
Case42,Round Grinding,ID4872,2012-03-14 19:23:00+00:00,2012-03-14 22:49:00+00:00
Case42,Laser Marking,ID4872,2012-03-14 19:42:00+00:00,2012-03-14 20:40:00+00:00
Case42,Turning & Milling Q.C.,ID4618,2012-03-14 19:45:00+00:00,2012-03-14 21:00:00+00:00
Case4,Turning & Milling Q.C.,ID4493,2012-03-14 20:22:00+00:00,2012-03-14 22:22:00+00:00
Case101,Turning & Milling Q.C.,ID4618,2012-03-14 20:33:00+00:00,2012-03-14 21:48:00+00:00
Case111,Turning Q.C.,ID4493,2012-03-14 20:50:00+00:00,2012-03-14 22:05:00+00:00
Case53,Turning & Milling,ID0997,2012-03-14 20:50:00+00:00,2012-03-14 22:56:00+00:00
Case4,Turning & Milling,ID4529,2012-03-14 22:19:00+00:00,2012-03-14 22:43:00+00:00
Case4,Turning & Milling,ID4429,2012-03-14 22:54:00+00:00,2012-03-15 06:37:00+00:00
Case7,Flat Grinding,ID0998,2012-03-14 22:58:00+00:00,2012-03-15 00:13:00+00:00
Case7,Lapping,ID0998,2012-03-14 22:58:00+00:00,2012-03-15 00:13:00+00:00
Case7,Laser Marking,ID0998,2012-03-14 22:59:00+00:00,2012-03-15 00:14:00+00:00
Case112,Turning & Milling,ID4132,2012-03-14 23:10:00+00:00,2012-03-15 00:51:00+00:00
Case53,Turning & Milling,ID4219,2012-03-14 23:24:00+00:00,2012-03-15 00:32:00+00:00
Case7,Final Inspection Q.C.,ID4618,2012-03-15 00:02:00+00:00,2012-03-15 00:58:00+00:00
Case53,Turning & Milling,ID4219,2012-03-15 00:33:00+00:00,2012-03-15 01:52:00+00:00
Case53,Turning & Milling,ID4219,2012-03-15 01:53:00+00:00,2012-03-15 03:53:00+00:00
Case112,Turning & Milling,ID4794,2012-03-15 03:43:00+00:00,2012-03-15 13:48:00+00:00
Case53,Turning & Milling,ID4219,2012-03-15 03:54:00+00:00,2012-03-15 05:39:00+00:00
Case53,Turning & Milling,ID4219,2012-03-15 05:39:00+00:00,2012-03-15 09:26:00+00:00
Case123,Turning & Milling,ID4932,2012-03-15 06:30:00+00:00,2012-03-15 09:00:00+00:00
Case4,Turning & Milling,ID4932,2012-03-15 06:38:00+00:00,2012-03-15 10:08:00+00:00
Case103,Packing,ID4820,2012-03-15 07:00:00+00:00,2012-03-15 08:00:00+00:00
Case42,Packing,ID4820,2012-03-15 07:00:00+00:00,2012-03-15 08:00:00+00:00
Case42,Lapping,ID4882,2012-03-15 07:00:00+00:00,2012-03-15 08:15:00+00:00
Case123,Turning & Milling,ID4932,2012-03-15 09:00:00+00:00,2012-03-15 13:30:00+00:00
Case113,SETUP     Turning & Milling,ID4932,2012-03-15 10:09:00+00:00,2012-03-15 13:49:00+00:00
Case139,Round Grinding,ID4493,2012-03-15 13:43:00+00:00,2012-03-15 14:45:00+00:00
Case7,Final Inspection Q.C.,ID4618,2012-03-15 13:58:00+00:00,2012-03-15 16:46:00+00:00
Case53,Turning & Milling,ID0997,2012-03-15 14:00:00+00:00,2012-03-15 15:00:00+00:00
Case53,Turning & Milling Q.C.,ID4287,2012-03-15 14:00:00+00:00,2012-03-15 15:00:00+00:00
Case42,Round Grinding,ID4872,2012-03-15 14:06:00+00:00,2012-03-15 22:42:00+00:00
Case113,Turning & Milling,ID4529,2012-03-15 14:06:00+00:00,2012-03-15 22:56:00+00:00
Case123,Turning & Milling,ID4167,2012-03-15 14:31:00+00:00,2012-03-15 15:51:00+00:00
Case53,Turning & Milling,ID0997,2012-03-15 15:00:00+00:00,2012-03-15 18:30:00+00:00
Case4,Turning & Milling Q.C.,ID4493,2012-03-15 15:15:00+00:00,2012-03-15 16:16:00+00:00
Case112,Turning & Milling,ID3846,2012-03-15 15:22:00+00:00,2012-03-15 16:43:00+00:00
Case42,Flat Grinding,ID0998,2012-03-15 15:26:00+00:00,2012-03-15 16:54:00+00:00
Case112,Turning & Milling,ID3846,2012-03-15 16:44:00+00:00,2012-03-16 00:22:00+00:00
Case42,Lapping,ID0998,2012-03-15 16:54:00+00:00,2012-03-15 16:55:00+00:00
Case101,Flat Grinding,ID0998,2012-03-15 16:55:00+00:00,2012-03-15 17:55:00+00:00
Case71,Turning & Milling,ID4641,2012-03-15 17:03:00+00:00,2012-03-15 19:26:00+00:00
Case106,Turning & Milling,ID0997,2012-03-15 17:14:00+00:00,2012-03-15 22:44:00+00:00
Case123,Turning & Milling,ID4167,2012-03-15 17:39:00+00:00,2012-03-16 00:56:00+00:00
Case4,Laser Marking,ID0998,2012-03-15 17:55:00+00:00,2012-03-15 17:56:00+00:00
Case4,Turning & Milling Q.C.,ID4493,2012-03-15 18:02:00+00:00,2012-03-15 19:17:00+00:00
Case4,Laser Marking,ID0998,2012-03-15 18:03:00+00:00,2012-03-15 19:18:00+00:00
Case71,Turning & Milling,ID4641,2012-03-15 19:26:00+00:00,2012-03-15 22:43:00+00:00
Case53,Turning & Milling Q.C.,ID4287,2012-03-15 20:20:00+00:00,2012-03-15 20:31:00+00:00
Case79,Final Inspection Q.C.,ID4287,2012-03-15 21:30:00+00:00,2012-03-15 22:57:00+00:00
Case64,Turning & Milling,ID4429,2012-03-15 23:29:00+00:00,2012-03-16 06:59:00+00:00
Case106,Turning & Milling,ID4219,2012-03-15 23:55:00+00:00,2012-03-16 03:38:00+00:00
Case123,Turning & Milling,ID4932,2012-03-16 02:49:00+00:00,2012-03-16 08:27:00+00:00
Case112,Turning & Milling,ID4794,2012-03-16 04:04:00+00:00,2012-03-16 13:47:00+00:00
Case60,Turning,ID4219,2012-03-16 05:23:00+00:00,2012-03-16 07:10:00+00:00
Case7,Packing,ID4820,2012-03-16 07:00:00+00:00,2012-03-16 08:00:00+00:00
Case64,Turning & Milling,ID4932,2012-03-16 07:20:00+00:00,2012-03-16 14:00:00+00:00
Case123,Turning & Milling,ID4932,2012-03-16 08:28:00+00:00,2012-03-16 10:30:00+00:00
Case123,Turning & Milling,ID4932,2012-03-16 10:31:00+00:00,2012-03-16 11:47:00+00:00
Case42,Round Grinding,ID4872,2012-03-16 13:55:00+00:00,2012-03-16 16:19:00+00:00
Case60,Lapping,ID0998,2012-03-16 14:00:00+00:00,2012-03-16 14:20:00+00:00
Case113,Turning & Milling Q.C.,ID4493,2012-03-16 14:03:00+00:00,2012-03-16 18:04:00+00:00
Case123,Turning & Milling,ID4167,2012-03-16 14:10:00+00:00,2012-03-16 14:12:00+00:00
Case64,Turning & Milling,ID4529,2012-03-16 14:10:00+00:00,2012-03-16 19:49:00+00:00
Case123,Turning & Milling,ID4167,2012-03-16 14:12:00+00:00,2012-03-16 19:48:00+00:00
Case53,Turning & Milling Q.C.,ID4287,2012-03-16 15:00:00+00:00,2012-03-16 16:08:00+00:00
Case123,Turning & Milling Q.C.,ID4493,2012-03-16 15:31:00+00:00,2012-03-16 16:32:00+00:00
Case60,Turning,ID0997,2012-03-16 16:53:00+00:00,2012-03-16 19:30:00+00:00
Case42,Final Inspection Q.C.,ID4618,2012-03-16 17:14:00+00:00,2012-03-16 18:52:00+00:00
Case113,Laser Marking,ID0998,2012-03-16 18:15:00+00:00,2012-03-16 18:39:00+00:00
Case42,Round Grinding,ID4618,2012-03-16 18:53:00+00:00,2012-03-16 18:55:00+00:00
Case64,Turning & Milling,ID4932,2012-03-17 15:23:00+00:00,2012-03-17 22:00:00+00:00
Case123,Turning & Milling,ID4641,2012-03-17 20:22:00+00:00,2012-03-18 07:57:00+00:00
Case79,Packing,ID4820,2012-03-18 07:00:00+00:00,2012-03-18 08:00:00+00:00
Case42,Packing,ID4820,2012-03-18 07:00:00+00:00,2012-03-18 08:00:00+00:00
Case123,Turning & Milling,ID4641,2012-03-18 07:56:00+00:00,2012-03-18 09:26:00+00:00
Case123,Turning & Milling,ID4932,2012-03-18 07:57:00+00:00,2012-03-18 14:13:00+00:00
Case112,Turning & Milling,ID4641,2012-03-18 10:18:00+00:00,2012-03-18 13:50:00+00:00
Case123,Turning & Milling,ID4932,2012-03-18 13:55:00+00:00,2012-03-18 16:20:00+00:00
Case60,Turning Q.C.,ID4287,2012-03-18 14:00:00+00:00,2012-03-18 15:00:00+00:00
Case123,Turning & Milling Q.C.,ID4493,2012-03-18 14:00:00+00:00,2012-03-18 16:41:00+00:00
Case60,Turning,ID4219,2012-03-18 14:01:00+00:00,2012-03-18 15:39:00+00:00
Case123,Turning & Milling,ID4932,2012-03-18 16:19:00+00:00,2012-03-18 16:21:00+00:00
Case123,Turning & Milling,ID4932,2012-03-18 16:20:00+00:00,2012-03-18 18:30:00+00:00
Case54,Turning & Milling,ID4429,2012-03-18 16:24:00+00:00,2012-03-18 23:10:00+00:00
Case59,Turning & Milling,ID4794,2012-03-18 16:47:00+00:00,2012-03-18 22:54:00+00:00
Case112,Turning & Milling Q.C.,ID4287,2012-03-18 19:00:00+00:00,2012-03-18 19:33:00+00:00
Case112,Turning & Milling Q.C.,ID4287,2012-03-18 19:00:00+00:00,2012-03-18 19:33:00+00:00
Case96,Turning & Milling Q.C.,ID4287,2012-03-18 19:00:00+00:00,2012-03-18 20:53:00+00:00
Case112,Laser Marking,ID4718,2012-03-18 19:42:00+00:00,2012-03-18 21:55:00+00:00
Case64,Turning & Milling,ID4932,2012-03-18 20:22:00+00:00,2012-03-18 23:04:00+00:00
Case97,Final Inspection Q.C.,ID4287,2012-03-18 20:54:00+00:00,2012-03-18 22:00:00+00:00
Case123,Laser Marking,ID4718,2012-03-18 22:03:00+00:00,2012-03-18 22:53:00+00:00
Case112,Lapping,ID0998,2012-03-18 22:43:00+00:00,2012-03-19 01:10:00+00:00
Case59,Turning & Milling,ID4429,2012-03-18 23:11:00+00:00,2012-03-19 00:59:00+00:00
Case64,Turning & Milling,ID4429,2012-03-18 23:40:00+00:00,2012-03-19 00:59:00+00:00
Case60,Turning,ID0997,2012-03-18 23:51:00+00:00,2012-03-19 06:30:00+00:00
Case64,Turning & Milling,ID4529,2012-03-19 03:07:00+00:00,2012-03-19 03:08:00+00:00
Case54,Turning & Milling,ID4167,2012-03-19 03:08:00+00:00,2012-03-19 06:46:00+00:00
Case64,Turning & Milling,ID4529,2012-03-19 03:08:00+00:00,2012-03-19 13:10:00+00:00
Case59,Turning & Milling,ID4529,2012-03-19 03:21:00+00:00,2012-03-19 04:18:00+00:00
Case112,Turning & Milling,ID4641,2012-03-19 04:38:00+00:00,2012-03-19 07:19:00+00:00
Case174,Turning & Milling,ID4529,2012-03-19 04:42:00+00:00,2012-03-19 09:14:00+00:00
Case129,Packing,ID4820,2012-03-19 07:00:00+00:00,2012-03-19 08:00:00+00:00
Case112,Turning & Milling,ID4641,2012-03-19 07:19:00+00:00,2012-03-19 10:10:00+00:00
Case112,Turning & Milling,ID4529,2012-03-19 10:12:00+00:00,2012-03-19 13:46:00+00:00
Case106,Turning & Milling Q.C.,ID4618,2012-03-19 14:00:00+00:00,2012-03-19 14:28:00+00:00
Case140,Turning & Milling,ID4429,2012-03-19 14:14:00+00:00,2012-03-20 00:59:00+00:00
Case174,Turning & Milling,ID4794,2012-03-19 14:20:00+00:00,2012-03-19 19:12:00+00:00
Case112,Turning & Milling,ID4718,2012-03-19 14:26:00+00:00,2012-03-19 23:39:00+00:00
Case54,Turning & Milling,ID4932,2012-03-19 14:32:00+00:00,2012-03-19 15:17:00+00:00
Case54,Turning & Milling,ID4932,2012-03-19 16:37:00+00:00,2012-03-19 23:04:00+00:00
Case106,Laser Marking,ID0998,2012-03-19 16:38:00+00:00,2012-03-19 17:51:00+00:00
Case53,Laser Marking,ID0998,2012-03-19 16:39:00+00:00,2012-03-19 18:21:00+00:00
Case174,Turning & Milling Q.C.,ID4287,2012-03-19 18:30:00+00:00,2012-03-19 19:37:00+00:00
Case174,Turning & Milling,ID4794,2012-03-19 19:12:00+00:00,2012-03-19 23:01:00+00:00
Case54,Turning & Milling Q.C.,ID4287,2012-03-19 19:39:00+00:00,2012-03-19 20:38:00+00:00
Case97,Final Inspection Q.C.,ID4287,2012-03-19 20:39:00+00:00,2012-03-19 23:00:00+00:00
Case106,Flat Grinding,ID4882,2012-03-19 21:42:00+00:00,2012-03-19 22:20:00+00:00
Case129,Final Inspection Q.C.,ID4287,2012-03-19 23:00:00+00:00,2012-03-19 23:30:00+00:00
Case54,Turning & Milling,ID4167,2012-03-19 23:05:00+00:00,2012-03-20 05:59:00+00:00
Case174,Turning & Milling,ID4718,2012-03-19 23:40:00+00:00,2012-03-20 00:49:00+00:00
Case60,Turning Q.C.,ID4287,2012-03-20 00:00:00+00:00,2012-03-20 00:58:00+00:00
Case174,Turning & Milling,ID0997,2012-03-20 02:57:00+00:00,2012-03-20 06:28:00+00:00
Case140,Turning & Milling,ID4167,2012-03-20 03:20:00+00:00,2012-03-20 04:35:00+00:00
Case104,Turning & Milling,ID4529,2012-03-20 03:43:00+00:00,2012-03-20 09:26:00+00:00
Case112,Turning & Milling,ID4641,2012-03-20 04:18:00+00:00,2012-03-20 13:48:00+00:00
Case69,Packing,ID4820,2012-03-20 07:00:00+00:00,2012-03-20 08:00:00+00:00
Case104,Turning & Milling,ID4529,2012-03-20 09:27:00+00:00,2012-03-20 13:41:00+00:00
Case174,Turning & Milling,ID4529,2012-03-20 10:03:00+00:00,2012-03-20 13:40:00+00:00
Case124,Turning & Milling,ID4932,2012-03-20 13:59:00+00:00,2012-03-20 21:34:00+00:00
Case54,Turning & Milling Q.C.,ID4287,2012-03-20 14:00:00+00:00,2012-03-20 14:15:00+00:00
Case104,Turning & Milling,ID4429,2012-03-20 14:00:00+00:00,2012-03-20 18:07:00+00:00
Case119,Turning & Milling,ID4132,2012-03-20 14:12:00+00:00,2012-03-20 22:57:00+00:00
Case60,Turning Q.C.,ID4287,2012-03-20 14:14:00+00:00,2012-03-20 15:00:00+00:00
Case112,Turning & Milling,ID3846,2012-03-20 14:20:00+00:00,2012-03-21 00:52:00+00:00
Case174,Turning & Milling,ID4794,2012-03-20 14:25:00+00:00,2012-03-20 20:29:00+00:00
Case129,Laser Marking,ID0998,2012-03-20 15:27:00+00:00,2012-03-20 16:11:00+00:00
Case69,Final Inspection Q.C.,ID4618,2012-03-20 16:43:00+00:00,2012-03-20 17:58:00+00:00
Case104,Turning & Milling Q.C.,ID4493,2012-03-20 16:54:00+00:00,2012-03-20 18:54:00+00:00
Case140,Turning & Milling Q.C.,ID4493,2012-03-20 18:02:00+00:00,2012-03-20 19:02:00+00:00
Case83,Turning & Milling,ID4429,2012-03-20 18:08:00+00:00,2012-03-21 00:56:00+00:00
Case112,Final Inspection Q.C.,ID4287,2012-03-20 18:30:00+00:00,2012-03-20 20:30:00+00:00
Case60,Lapping,ID0998,2012-03-20 18:59:00+00:00,2012-03-20 19:35:00+00:00
Case60,Laser Marking,ID4882,2012-03-20 19:36:00+00:00,2012-03-20 19:47:00+00:00
